_,id,title,photo,date,creator,left,broadcast,verified,megagroup,restricted,signatures,min,scam,has_link,has_geo,slowmode_enabled,call_active,call_not_empty,fake,gigagroup,noforwards,join_to_send,join_request,forum,stories_hidden,stories_hidden_min,stories_unavailable,access_hash,username,restriction_reason,admin_rights,banned_rights,default_banned_rights,participants_count,usernames,stories_max_id,color,counter_x,from_messages_x,channel_request_x,channel_req_targeted_by_x,source_x,counter_y,from_messages_y,channel_request_y,channel_req_targeted_by_y,source_y,counter,from_messages,channel_request,channel_req_targeted_by,source
Channel,1464373947,Benny Johnson,"{'_': 'ChatPhoto', 'photo_id': 5165838268669996418, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xa0\x04\x7fa9Q\xe6n\xe0\xd1E\x14\x05\xcf'}",2020-11-09 07:27:52+00:00,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,-7753720457873659468,BennyJohnson,[],,,,76963,[],,,13.0,13.0,0.0,{'channels': ['self']},['CharlieKirk'],14.0,14.0,0.0,{'channels': ['self']},['Jack_Posobiec'],21.0,21.0,0.0,{'channels': ['self']},"['Jack_Posobiec', 'JamesOKeefeIII', 'TrumpChannel']"
Channel,1318801077,The Post Millennial,"{'_': 'ChatPhoto', 'photo_id': 4956347596675328200, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xcf\xdf\x1e\xcf\xe2\xdf\xfaQE\x14\x01'}",2021-02-02 00:34:01+00:00,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,-4047005232015641443,ThePostMillennial,[],,,,28024,[],,,2.0,2.0,0.0,{'channels': ['self']},['CharlieKirk'],6.0,6.0,0.0,{'channels': ['self']},['Jack_Posobiec'],21.0,21.0,0.0,{'channels': ['self']},"['Jack_Posobiec', 'TrumpChannel']"
Channel,1427137833,Turning Point USA,"{'_': 'ChatPhoto', 'photo_id': 4906919549664866022, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xce;01\x9c\xe2\x8a(\xab\x11'}",2019-10-27 05:18:49+00:00,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,-255235952227006972,TPUSA,[],,,,61830,[],,,8.0,8.0,0.0,{'channels': ['self']},['CharlieKirk'],1.0,1.0,0.0,{'channels': ['self']},['Jack_Posobiec'],2.0,2.0,0.0,{'channels': ['self']},"['Jack_Posobiec', 'TrumpJr']"
Channel,1579681129,Congresswoman Marjorie Taylor Greene,"{'_': 'ChatPhoto', 'photo_id': 5134480854175820922, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x96k\x81\x1c\x8a\t\xc0\xc8\xcd\x14QRU\x8f'}",2021-12-01 14:27:06+00:00,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,-3350677442841837866,RepMTG,[],,,,10449,[],,,2.0,2.0,0.0,{'channels': ['self']},['CharlieKirk'],1.0,1.0,0.0,{'channels': ['self']},['Jack_Posobiec'],1.0,1.0,0.0,{'channels': ['self']},['Jack_Posobiec']
Channel,1462338131,Donald J. Trump,"{'_': 'ChatPhoto', 'photo_id': 5100642395988536211, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x8e\x17\x02\xdbvq\x81\x9f\xf3\xf9QE\x15/Vh\xb4I\x1f'}",2019-10-29 20:27:54+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2715137746187884143,real_DonaldJTrump,[],,,,641266,[],,,6.0,6.0,0.0,{'channels': ['self']},['CharlieKirk'],3.0,3.0,0.0,{'channels': ['self']},['Jack_Posobiec'],45.0,45.0,0.0,{'channels': ['self']},"['Jack_Posobiec', 'RaheemKassam', 'NationalPulse', 'TrumpChannel']"
Channel,1188544652,UngaTheGreat,"{'_': 'ChatPhoto', 'photo_id': 4949930090901386317, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08hx\xd9v\x15@\x15\x03\x03\xdf>\xb4QE4&\x7f'}",2021-09-06 06:24:29+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,-1840500594795621928,ungathegreat,[],,,,17871,[],,,2.0,2.0,0.0,{'channels': ['self']},['CharlieKirk'],5.0,5.0,0.0,{'channels': ['self']},['Jack_Posobiec'],5.0,5.0,0.0,{'channels': ['self']},['Jack_Posobiec']
Channel,1773327135,UngaTheGreat Chat,"{'_': 'ChatPhoto', 'photo_id': 5051165893157038565, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xac\xd1[\xfd\x85\\\x8e\x08\xe1\x87]\xd4QE\x00\x7f'}",2022-03-29 14:39:02+00:00,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,2377751885727830587,ungachat,[],,,"{'_': 'ChatBannedRights', 'until_date': datetime.datetime(2038, 1, 19, 3, 14, 7, tzinfo=datetime.timezone.utc), 'view_messages': False, 'send_messages': False, 'send_media': True, 'send_stickers': True, 'send_gifs': True, 'send_games': True, 'send_inline': True, 'embed_links': True, 'send_polls': True, 'change_info': True, 'invite_users': True, 'pin_messages': True, 'manage_topics': False, 'send_photos': True, 'send_videos': True, 'send_roundvideos': True, 'send_audios': True, 'send_voices': True, 'send_docs': True, 'send_plain': False}",527,[],,,1.0,0.0,1.0,{'channels': ['ungathegreat']},['CharlieKirk'],1.0,0.0,1.0,{'channels': ['ungathegreat']},['Jack_Posobiec'],1.0,0.0,1.0,{'channels': ['ungathegreat']},['Jack_Posobiec']
Channel,1893566243,O'Keefe Media Group,"{'_': 'ChatPhoto', 'photo_id': 5472216938936652985, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xbf\xb6\x7f\xb5\xee\xde|\xbc\xf4\xed\x8cz}h\xa2\x8a\x00'}",2022-11-30 22:03:24+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,1108122480843537135,OKeefeMediaGroup,[],,,,20602,[],,,1.0,1.0,0.0,{'channels': ['self']},['CharlieKirk'],2.0,2.0,0.0,{'channels': ['self']},['Jack_Posobiec'],2.0,2.0,0.0,{'channels': ['self']},['Jack_Posobiec']
Channel,1751351553,Libs of TikTok Fans,"{'_': 'ChatPhoto', 'photo_id': 5008539489500506473, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xcf\xccm\x06~PB\xe3\xa7$\xd1E\x14\r\x9f'}",2021-10-27 22:41:54+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,-2464524606073017288,libsontiktok,[],,,,17430,[],,,3.0,3.0,0.0,{'channels': ['self']},['CharlieKirk'],,,,,,1.0,1.0,0.0,{'channels': ['self']},['TrumpChannel']
Channel,1374290756,Matt Gaetz,"{'_': 'ChatPhoto', 'photo_id': 4974449844445882731, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08-\xa5\x8b\xce\xdd\x8f\xbd\xc0\xfc\xa8\xa2\x8a\x00'}",2021-02-07 20:30:15+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,3533136276688038330,MattGaetzOfficial,[],,,,48816,[],,,4.0,4.0,0.0,{'channels': ['self']},['CharlieKirk'],2.0,2.0,0.0,{'channels': ['self']},['Jack_Posobiec'],4.0,4.0,0.0,{'channels': ['self']},"['Jack_Posobiec', 'TrumpChannel']"
